op_id	desc	proc	level
1	legion_python_main <1>	Python Processor 0x1d00000000000004	2
47	legate::numpy::BinaryOpTask [CPU] <47>	CPU Processor 0x1d00000000000002	2
71	legate::numpy::BinaryOpTask [CPU] <71>	CPU Processor 0x1d00000000000002	2
76	legate::numpy::BinaryOpTask [CPU] <76>	CPU Processor 0x1d00000000000002	2
5	Tunable Operation <5>		
6	Pending Partition Operation <6>		
8	Refinement Operation <8>		
7	legate::numpy::FillTask <7>		
9	legate::numpy::FillTask <9>		
0	Operation <0>		
10	legate::numpy::FillTask <10>		
12	legate::numpy::FillTask <12>		
14	Refinement Operation <14>		
15	legate::numpy::FillTask [CPU] <15>	CPU Processor 0x1d00000000000003	2
18	Refinement Operation <18>		
17	legate::numpy::FillTask <17>		
20	legate::numpy::FillTask <20>		
16	legate::numpy::FillTask <16>		
19	legate::numpy::FillTask <19>		
54	legate::numpy::BinaryOpTask <54>		
55	legate::numpy::BinaryOpTask <55>		
56	legate::numpy::BinaryOpTask <56>		
59	legate::numpy::BinaryOpTask [CPU] <59>	CPU Processor 0x1d00000000000003	2
60	legate::numpy::BinaryOpTask <60>		
65	legate::numpy::BinaryOpTask [CPU] <65>	CPU Processor 0x1d00000000000002	2
63	legate::numpy::BinaryOpTask <63>		
68	legate::numpy::BinaryOpTask <68>		
77	legate::numpy::BinaryOpTask [CPU] <77>	CPU Processor 0x1d00000000000003	2
79	legate::numpy::BinaryOpTask <79>		
80	legate::numpy::BinaryOpTask <80>		
82	legate::numpy::BinaryOpTask [CPU] <82>	CPU Processor 0x1d00000000000002	2
84	Merge Close Operation <84>		
85	legate::numpy::BinaryOpTask [CPU] <85>	CPU Processor 0x1d00000000000003	2
83	Mapping Operation <83>		
89	Deletion Operation <89>		
87	Deletion Operation <87>		
88	Deletion Operation <88>		
13	legate::numpy::FillTask [CPU] <13>	CPU Processor 0x1d00000000000002	2
48	legate::numpy::BinaryOpTask [CPU] <48>	CPU Processor 0x1d00000000000003	2
29	legate::numpy::FillTask [CPU] <29>	CPU Processor 0x1d00000000000002	2
38	legate::numpy::FillTask [CPU] <38>	CPU Processor 0x1d00000000000002	2
52	legate::numpy::BinaryOpTask [CPU] <52>	CPU Processor 0x1d00000000000002	2
11	legate::numpy::FillTask <11>		
21	legate::numpy::FillTask <21>		
25	legate::numpy::FillTask [CPU] <25>	CPU Processor 0x1d00000000000003	2
33	Refinement Operation <33>		
34	Refinement Operation <34>		
35	legate::numpy::FillTask [CPU] <35>	CPU Processor 0x1d00000000000002	2
36	legate::numpy::FillTask [CPU] <36>	CPU Processor 0x1d00000000000003	2
42	legate::numpy::FillTask [CPU] <42>	CPU Processor 0x1d00000000000002	2
44	legate::numpy::BinaryOpTask <44>		
45	legate::numpy::BinaryOpTask <45>		
46	legate::numpy::BinaryOpTask <46>		
50	legate::numpy::BinaryOpTask <50>		
51	legate::numpy::BinaryOpTask <51>		
53	legate::numpy::BinaryOpTask [CPU] <53>	CPU Processor 0x1d00000000000003	2
49	legate::numpy::BinaryOpTask <49>		
32	legate::numpy::FillTask <32>		
31	legate::numpy::FillTask <31>		
28	legate::numpy::BinaryOpTask <28>		
39	legate::numpy::FillTask [CPU] <39>	CPU Processor 0x1d00000000000003	2
3	Tunable Operation <3>		
4	Tunable Operation <4>		
22	legate::numpy::FillTask <22>		
30	legate::numpy::BinaryOpTask <30>		
23	legate::numpy::FillTask <23>		
24	legate::numpy::FillTask <24>		
26	legate::numpy::FillTask <26>		
27	legate::numpy::FillTask <27>		
41	legate::numpy::FillTask <41>		
40	legate::numpy::FillTask <40>		
43	legate::numpy::FillTask [CPU] <43>	CPU Processor 0x1d00000000000003	2
37	legate::numpy::FillTask <37>		
64	legate::numpy::BinaryOpTask <64>		
70	legate::numpy::BinaryOpTask <70>		
78	legate::numpy::BinaryOpTask <78>		
86	Fence Operation <86>		
58	legate::numpy::BinaryOpTask [CPU] <58>	CPU Processor 0x1d00000000000002	2
57	legate::numpy::BinaryOpTask <57>		
66	legate::numpy::BinaryOpTask [CPU] <66>	CPU Processor 0x1d00000000000003	2
72	legate::numpy::BinaryOpTask [CPU] <72>	CPU Processor 0x1d00000000000003	2
81	legate::numpy::BinaryOpTask <81>		
62	legate::numpy::BinaryOpTask <62>		
73	legate::numpy::BinaryOpTask <73>		
74	legate::numpy::BinaryOpTask <74>		
75	legate::numpy::BinaryOpTask <75>		
61	legate::numpy::BinaryOpTask <61>		
67	legate::numpy::BinaryOpTask <67>		
69	legate::numpy::BinaryOpTask <69>		
