time	count
0.000	0.00
478125.062	0.50
478182.035	0.00
478215.611	0.50
478215.750	1.00
478227.571	0.50
478293.256	0.00
478321.896	0.50
478322.038	1.00
478327.141	0.50
478364.450	0.00
478393.250	0.50
478397.534	1.00
478398.019	0.50
478455.013	0.00
478487.003	0.50
478488.917	1.00
478491.783	0.50
478610.233	0.00
478651.813	0.50
478657.222	0.00
922202.362	0.50
922257.734	0.00
922271.051	0.50
922282.907	1.00
922293.697	0.50
922313.422	0.00
922320.369	0.50
922352.823	1.00
922360.236	0.50
922430.159	0.00
922485.054	0.50
922500.295	0.00
922615.976	0.50
922651.888	0.00
922678.906	0.50
922683.753	0.00
922685.337	0.50
922723.942	0.00
922748.730	0.50
922752.172	1.00
922757.292	0.50
922781.292	0.00
922821.002	0.50
922824.608	0.00
962526.481	0.50
962567.952	0.00
962598.963	0.50
962603.564	0.00
962606.098	0.50
962647.123	0.00
962678.949	0.50
962723.015	0.00
962756.169	0.50
962760.737	0.00
999297.143	0.50
999351.129	0.00
999365.982	0.50
999372.250	1.00
999376.414	0.50
999398.360	0.00
999406.012	0.50
999503.615	0.00
999507.767	0.50
999524.730	1.00
999529.853	0.50
999537.920	0.00
999551.347	0.50
999554.898	0.00
1019311.922	0.50
1019495.678	1.00
1019495.815	0.50
1019516.941	1.00
1019521.801	0.50
1019527.822	1.00
1019531.556	0.50
1019576.947	1.00
1019579.130	0.50
1019594.838	1.00
1019598.189	0.50
1019620.039	0.00
1019628.570	0.50
1019636.957	1.00
1019640.979	0.50
1019699.933	0.00
1019714.252	0.50
1019811.952	0.00
1019827.080	0.50
1019830.493	1.00
1019834.164	0.50
1019933.635	1.00
1019950.329	0.50
1019974.821	1.00
1020004.219	0.50
1020027.498	1.00
1020060.964	0.50
1020081.461	1.00
1020099.613	0.50
1020115.715	1.00
1020149.907	0.50
1020169.732	1.00
1020198.015	0.50
1020215.638	1.00
1020251.160	0.50
1020263.069	1.00
1020281.769	0.50
1020365.103	1.00
1020389.610	0.50
1020411.660	1.00
1020446.324	0.50
1020465.390	1.00
1020580.691	0.50
1020602.314	1.00
1020623.469	0.50
1020634.362	1.00
1020671.314	0.50
1020676.289	0.00
1020691.218	0.50
1020713.369	0.00
1020722.173	0.50
1020750.432	1.00
1020787.419	0.50
1020808.922	0.00
1020810.229	0.50
1020839.392	1.00
1020846.307	0.50
1020864.411	1.00
1020874.211	0.50
1020894.975	1.00
1020913.363	0.50
1020928.632	1.00
1020930.984	0.50
1020952.149	1.00
1020985.345	0.50
1020996.549	0.00
1021013.914	0.50
1021015.936	1.00
1021039.622	0.50
1021048.610	0.00
1021058.657	0.50
1021061.000	1.00
1021089.194	0.50
1021095.392	0.00
1021103.473	0.50
1021113.857	1.00
1021142.700	0.50
1021159.797	1.00
1021175.820	0.50
1021181.610	0.00
1021196.702	0.50
1021219.821	1.00
1021266.724	0.50
1021284.322	1.00
1021292.380	0.50
1021312.878	1.00
1021325.094	0.50
1021339.701	1.00
1021358.196	0.50
1021375.545	1.00
1021396.717	0.50
1021396.820	0.00
1021416.548	0.50
1021427.029	1.00
1021465.556	0.50
1021477.105	0.00
1021485.938	0.50
1021492.376	1.00
1021517.858	0.50
1021535.050	1.00
1021563.059	0.50
1021570.371	0.00
1021585.593	0.50
1021598.522	1.00
1021633.743	0.50
1021650.015	1.00
