level	level_ready	ready	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
11			1020277.868	1184412.082	#00fff6	1.0	Region: ispace:1[0:249999] x fspace:1$Fields: [fid:1048577]$Layout Order: [Struct-of-arrays (SOA)] $Inst: 0x4000000000000001 $Size: 1.907 MiB	13					108
10			1020517.864	1184732.637	#00fff6	1.0	Region: ispace:1[250000:499999] x fspace:1$Fields: [fid:1048577]$Layout Order: [Struct-of-arrays (SOA)] $Inst: 0x4000000000000002 $Size: 1.907 MiB	15					109
9			1021638.640	1184825.486	#00fff6	1.0	Region: ispace:1[250000:499999] x fspace:1$Fields: [fid:1048578]$Layout Order: [Struct-of-arrays (SOA)] $Inst: 0x4000000000000003 $Size: 1.907 MiB	25					222
8			1021896.476	1184466.441	#00fff6	1.0	Region: ispace:1[0:249999] x fspace:1$Fields: [fid:1048578]$Layout Order: [Struct-of-arrays (SOA)] $Inst: 0x4000000000000004 $Size: 1.907 MiB	29					115
7			1022852.940	1184520.480	#00fff6	1.0	Region: ispace:1[0:249999] x fspace:1$Fields: [fid:1048579]$Layout Order: [Struct-of-arrays (SOA)] $Inst: 0x4000000000000005 $Size: 1.907 MiB	38					117
6			1023094.891	1184616.464	#00fff6	1.0	Region: ispace:1[250000:499999] x fspace:1$Fields: [fid:1048579]$Layout Order: [Struct-of-arrays (SOA)] $Inst: 0x4000000000000006 $Size: 1.907 MiB	39					343
5			1024127.778	1183973.835	#ff0038	1.0	Region: ispace:1[0:249999] x fspace:1$Fields: [fid:1048580]$Layout Order: [Struct-of-arrays (SOA)] $Inst: 0x4000000000000007 $Size: 1.907 MiB	47					113
4			1024326.370	1183909.479	#ff0038	1.0	Region: ispace:1[250000:499999] x fspace:1$Fields: [fid:1048580]$Layout Order: [Struct-of-arrays (SOA)] $Inst: 0x4000000000000008 $Size: 1.907 MiB	48					112
3			1025091.417	1184563.664	#ff0038	1.0	Region: ispace:1[0:249999] x fspace:1$Fields: [fid:1048581]$Layout Order: [Struct-of-arrays (SOA)] $Inst: 0x4000000000000009 $Size: 1.907 MiB	52					119
2			1025243.869	1184671.451	#ff0038	1.0	Region: ispace:1[250000:499999] x fspace:1$Fields: [fid:1048581]$Layout Order: [Struct-of-arrays (SOA)] $Inst: 0x400000000000000a $Size: 1.907 MiB	53					344
1			1048334.454	1184355.765	#ff6e00	1.0	Region: ispace:1[0:499999] x fspace:1$Fields: [fid:1048580]$Layout Order: [Struct-of-arrays (SOA)] $Inst: 0x400000000000000b $Size: 3.815 MiB	83					110
