time	count
0.000	0.00
962689.824	0.50
962698.725	0.00
999427.832	0.50
999433.367	0.00
999530.605	0.50
999537.468	0.00
999566.582	0.50
999574.512	0.00
1019563.499	0.50
1019569.168	0.00
1019723.664	0.50
1019734.354	0.00
1019976.547	0.50
1019982.927	0.00
1020029.859	0.50
1020035.992	0.00
1020081.621	0.50
1020088.315	0.00
1020133.393	0.50
1020140.003	0.00
1020170.226	0.50
1020176.043	0.00
1020320.009	0.50
1020320.096	1.00
1020326.182	0.50
1020326.371	0.00
1020336.073	0.50
1020344.812	0.00
1020409.676	0.50
1020415.356	0.00
1020465.741	0.50
1020471.704	0.00
1020538.912	0.50
1020544.913	0.00
1020607.485	0.50
1020618.851	0.00
1020683.611	0.50
1020698.885	1.00
1020708.696	0.50
1020718.044	1.00
1020723.315	0.50
1020728.635	1.00
1020732.653	0.50
1020812.834	1.00
1020820.679	0.50
1020841.769	1.00
1020849.994	0.50
1020859.100	1.00
1022061.790	0.50
1022107.376	1.00
1022115.335	0.50
1022125.977	1.00
1022132.984	0.50
1022141.854	1.00
1022148.613	0.50
1022155.102	1.00
1022158.592	0.50
1022164.775	1.00
1022169.154	0.50
1022175.085	1.00
1022178.496	0.50
1022184.906	1.00
1022191.677	0.50
1022198.572	1.00
1022204.310	0.50
1022210.953	1.00
1022211.911	0.50
1022214.923	0.00
1022222.553	0.50
1022227.962	0.00
1022237.249	0.50
1022245.039	0.00
1022245.345	0.50
1022259.076	1.00
1023674.045	0.50
1023674.774	0.00
1023700.501	0.50
1023714.788	1.00
1024165.613	0.50
1024175.988	0.00
1024191.329	0.50
1024212.470	1.00
1025513.689	0.50
1025523.689	0.00
1025541.836	0.50
1025553.734	1.00
1025784.682	0.50
1025793.359	0.00
1025817.215	0.50
1025825.619	1.00
1025838.009	0.50
1025857.809	1.00
1027264.327	0.50
1027267.987	0.00
1027290.352	0.50
1027298.588	1.00
1027310.850	0.50
1027340.279	1.00
1028673.325	0.50
1028683.215	0.00
1028696.363	0.50
1028702.589	0.00
1043099.467	0.50
1043105.925	0.00
1043152.725	0.50
1043162.570	0.00
1043172.134	0.50
1043175.780	0.00
1043313.696	0.50
1043321.599	0.00
1043381.693	0.50
1043389.858	0.00
1043463.226	0.50
1043469.407	0.00
1043478.703	0.50
1043483.955	0.00
1043544.444	0.50
1043550.837	0.00
1043559.025	0.50
1043565.584	0.00
1043780.003	0.50
1043793.581	0.00
1043815.587	0.50
1043823.752	0.00
1043840.550	0.50
1043845.419	0.00
1043885.917	0.50
1043891.674	1.00
1043893.078	0.50
1043899.319	1.00
1043902.688	0.50
1043932.016	1.00
1044741.669	0.50
1044772.977	1.00
1044785.500	0.50
1044786.018	0.00
1044798.568	0.50
1044804.821	0.00
1044816.976	0.50
1044818.895	1.00
1044826.305	0.50
1044832.900	1.00
1044836.390	0.50
1044841.026	1.00
1044846.632	0.50
1044853.660	1.00
1044856.914	0.50
1044903.140	1.00
1045600.715	0.50
1045633.063	1.00
1045640.501	0.50
1045658.078	1.00
1045664.840	0.50
1045674.697	1.00
1045716.824	0.50
1045749.414	1.00
1045757.154	0.50
1045767.502	1.00
1045774.232	0.50
1045783.097	1.00
