time	count
0.000	0.00
493837.510	0.50
493896.375	0.00
493931.102	0.50
493931.677	1.00
493944.124	0.50
494029.929	0.00
494058.742	0.50
494058.910	1.00
494064.325	0.50
494101.567	0.00
494125.428	0.50
494130.615	1.00
494135.463	0.50
494193.707	0.00
494208.875	0.50
494210.784	1.00
494214.839	0.50
494348.350	0.00
494368.000	0.50
494371.632	0.00
1164265.110	0.50
1164304.048	0.00
1164313.229	0.50
1164405.071	1.00
1164407.217	0.50
1164511.519	0.00
1164541.448	0.50
1164549.085	0.00
1164682.320	0.50
1164714.593	0.00
1164725.526	0.50
1164772.567	0.00
1164778.390	0.50
1164819.329	0.00
1164842.752	0.50
1164848.390	0.00
1207271.028	0.50
1207305.822	1.00
1207307.344	0.50
1207337.594	0.00
1207339.179	0.50
1207399.159	0.00
1207424.454	0.50
1207430.784	0.00
1257389.335	0.50
1257422.422	0.00
1257444.005	0.50
1257484.492	0.00
1257499.072	0.50
1257585.815	0.00
1257595.549	0.50
1257609.470	1.00
1257615.167	0.50
1257624.283	0.00
1257640.055	0.50
1257646.736	0.00
1277848.542	0.50
1278028.704	1.00
1278028.841	0.50
1278051.446	1.00
1278056.549	0.50
1278061.916	0.00
1278063.442	0.50
1278109.764	1.00
1278119.561	0.50
1278137.033	1.00
1278141.642	0.50
1278162.126	0.00
1278163.934	0.50
1278180.326	1.00
1278186.455	0.50
1278205.113	0.00
1278209.774	0.50
1278308.664	0.00
1278323.593	0.50
1278426.961	1.00
1278440.201	0.50
1278461.160	1.00
1278505.618	0.50
1278538.494	1.00
1278541.424	0.50
1278559.476	1.00
1278619.622	0.50
1278620.037	0.00
1278638.486	0.50
1278641.562	1.00
1278664.513	0.50
1278680.314	1.00
1278712.234	0.50
1278726.859	1.00
1278745.693	0.50
1278783.666	1.00
1278801.586	0.50
1278818.753	1.00
1278849.780	0.50
1278893.781	1.00
1278918.912	0.50
1278940.842	1.00
1278989.270	0.50
1279017.443	1.00
1279099.959	0.50
1279133.630	1.00
1279160.544	0.50
1279231.730	1.00
1279251.865	0.50
1279320.699	1.00
1279351.834	0.50
1279375.598	0.00
1279389.655	0.50
1279418.725	1.00
1279426.309	0.50
1279467.951	0.00
1279479.418	0.50
1279508.879	1.00
1279536.461	0.50
1279561.577	1.00
1279580.044	0.50
1279591.038	0.00
1279611.199	0.50
1279616.772	1.00
1279651.982	0.50
1279674.758	1.00
1279698.571	0.50
1279718.086	1.00
1279761.109	0.50
1279774.382	0.00
1279777.897	0.50
1279792.958	1.00
1279794.261	0.50
1279823.597	1.00
1279866.659	0.50
1279872.496	0.00
1279883.399	0.50
1279895.526	1.00
1279907.765	0.50
1279921.310	1.00
1279925.030	0.50
1279945.362	0.00
1279947.145	0.50
1279958.591	1.00
1279997.784	0.50
1280008.249	0.00
1280011.334	0.50
1280036.518	1.00
1280057.763	0.50
1280076.936	1.00
1280123.017	0.50
1280137.759	1.00
1280175.444	0.50
1280192.631	1.00
1280237.601	0.50
1280252.240	1.00
1280278.040	0.50
1280290.082	1.00
1280302.458	0.50
1280314.319	1.00
1280319.182	0.50
1280324.665	1.00
1280328.013	0.50
1280332.985	1.00
1280336.186	0.50
1280340.596	1.00
1280345.027	0.50
1280349.935	1.00
1280354.507	0.50
1280360.608	1.00
1280368.275	0.50
1280379.031	0.00
1280397.006	0.50
1280404.093	0.00
1280408.793	0.50
1280412.723	0.00
1280415.218	0.50
1280418.215	1.00
1280422.494	0.50
1280427.978	1.00
1280432.194	0.50
1280436.774	1.00
1280440.821	0.50
1280446.196	1.00
1280450.961	0.50
1280456.534	1.00
1280480.415	0.50
1280500.201	0.00
1280517.657	0.50
1280519.467	1.00
1280590.069	0.50
1280618.696	1.00
1280620.373	0.50
1280640.616	1.00
1280675.589	0.50
1280695.112	1.00
1280704.966	0.50
1280724.974	1.00
1280731.408	0.50
1280750.931	1.00
1280799.920	0.50
1280819.690	1.00
1280845.001	0.50
1280864.265	1.00
1280903.705	0.50
1280923.262	1.00
1280948.444	0.50
1280949.533	0.00
1280969.101	0.50
1280975.106	1.00
1281006.901	0.50
1281020.886	0.00
1281026.198	0.50
1281040.746	1.00
1281082.549	0.50
1281102.897	1.00
1281117.395	0.50
1281128.249	0.00
1281133.593	0.50
1281156.030	0.00
1281168.256	0.50
1281168.977	1.00
1281202.632	0.50
1281216.424	1.00
1281221.133	0.50
1281244.468	1.00
1281263.117	0.50
1281278.236	1.00
1281304.887	0.50
1281307.180	0.00
1281323.992	0.50
1281331.290	1.00
1281352.380	0.50
1281369.623	1.00
1281426.948	0.50
1281441.165	1.00
1281453.949	0.50
1281469.680	1.00
1281491.546	0.50
1281511.464	1.00
1281524.905	0.50
1281540.900	1.00
1281542.779	0.50
1281578.718	1.00
1281646.649	0.50
1281662.778	1.00
1281672.107	0.50
1281687.437	0.00
1281702.413	0.50
1281711.894	1.00
1281728.933	0.50
1281747.438	1.00
1281795.038	0.50
1281819.066	1.00
1281833.954	0.50
1281854.322	1.00
1281914.727	0.50
1281935.560	1.00
1281962.837	0.50
1281968.754	0.00
1281982.725	0.50
1281987.215	1.00
1281997.474	0.50
1282022.385	1.00
1282052.736	0.50
1282073.815	1.00
1282075.305	0.50
1282094.433	1.00
1282135.609	0.50
1282156.222	0.00
1282156.494	0.50
1282176.348	1.00
1282184.635	0.50
1282204.439	1.00
1282213.490	0.50
1282231.574	0.00
1282232.852	0.50
1282247.509	1.00
1282254.507	0.50
1282263.334	1.00
1282265.809	0.50
1282284.700	1.00
1282290.552	0.50
1282298.502	1.00
1282305.272	0.50
1282312.818	1.00
1282321.895	0.50
1282329.352	1.00
1282334.523	0.50
1282342.111	1.00
1282347.445	0.50
1282350.095	0.00
1282355.476	0.50
1282370.051	1.00
1282376.626	0.50
1282383.996	1.00
1282390.851	0.50
1282398.511	1.00
1282404.761	0.50
1282412.358	1.00
1282431.565	0.50
