level	level_ready	ready	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
4	5	493886.718	493931.102	494029.929	#ff7a00	1.0	Scheduler	0					192
4	5	494058.910	494058.910	494064.325	#ffc0cb	1.0	ProfTask <0>						228
4	5	494080.457	494125.428	494193.707	#ff7a00	1.0	Scheduler	0					193
4	5	494210.784	494210.784	494214.839	#ffc0cb	1.0	ProfTask <0>						229
4	5	494368.000	494368.000	494371.632	#ffc0cb	1.0	ProfTask <1>						230
4	5	1164287.507	1164313.229	1164407.217	#333399	1.0	Deferred Ready Trigger	3					15
4	5	1164541.448	1164541.448	1164549.085	#ffc0cb	1.0	ProfTask <3>						231
4	5	1164701.605	1164725.526	1164772.567	#333399	1.0	Deferred Ready Trigger	4					18
4	5	1164842.752	1164842.752	1164848.390	#ffc0cb	1.0	ProfTask <4>						232
4	5	1207290.361	1207305.822	1207337.594	#333399	1.0	Deferred Ready Trigger	5					21
4	5	1207424.454	1207424.454	1207430.784	#ffc0cb	1.0	ProfTask <5>						233
4	5	1257408.526	1257444.005	1257484.492	#333399	1.0	Deferred Ready Trigger	6					24
4	5	1257563.718	1257595.549	1257615.167	#ff00c5	1.0	Tighten Index Space	6					26
4	5	1277991.028	1278028.704	1278061.916	#333399	1.0	Deferred Ready Trigger	8					28
4	5	1278097.793	1278109.764	1278162.126	#333399	1.0	Deferred Ready Trigger	7					198
4	5	1278180.326	1278180.326	1278186.455	#ffc0cb	1.0	ProfTask <7>						234
4	5	1278195.856	1278209.774	1278308.664	#ff7a00	1.0	Scheduler	0					32
4	5	1278390.540	1278426.961	1278505.618	#ff7a00	1.0	Scheduler	0					35
4	4	1278494.858	1278538.494	1278620.037	#3dff00	1.0	Task Physical Dependence Analysis	10					274
4	5	1278641.562	1278641.562	1278855.517	#cd00ff	1.0	Defer Task Perform Mapping	13	[[0, 2, 566]]				46
4	5	1278855.517	1278855.517	1278868.886	#cd00ff	0.15	Defer Task Perform Mapping (waiting)	13					46
4	5	1278868.886	1278868.886	1278899.184	#cd00ff	0.45	Defer Task Perform Mapping (ready)	13					46
4	5	1278899.184	1278899.184	1279099.959	#cd00ff	1.0	Defer Task Perform Mapping	13					46
3	4	1278659.569	1278659.569	1278953.292	#ff3200	1.0	Mapper Call map_task for 13	13	[[0, 2, 566]]				223
4	3	1279133.630	1279133.630	1279160.544	#00ff12	1.0	Logical Dependence Analysis	17					280
4	3	1279160.544	1279160.544	1279450.908	#00ff12	0.15	Logical Dependence Analysis (waiting)	17					280
