time	count
0.000	0.00
1164390.880	0.50
1164404.064	0.00
1164431.041	0.50
1164436.216	0.00
1164746.447	0.50
1164753.372	0.00
1164794.721	0.50
1164801.321	0.00
1207340.857	0.50
1207348.217	0.00
1207357.779	0.50
1207362.525	0.00
1257468.208	0.50
1257475.225	0.00
1257512.563	0.50
1257518.405	0.00
1257612.061	0.50
1257621.839	0.00
1257633.588	0.50
1257640.573	0.00
1278088.519	0.50
1278094.369	0.00
1278227.506	0.50
1278250.584	0.00
1278329.460	0.50
1278341.946	0.00
1278465.635	0.50
1278473.130	0.00
1278531.783	0.50
1278539.848	0.00
1278559.197	0.50
1278563.854	0.00
1278647.025	0.50
1278654.038	0.00
1278661.355	0.50
1278670.464	0.00
1278677.818	0.50
1278682.210	0.00
1278732.052	0.50
1278737.425	0.00
1278822.472	0.50
1278827.664	0.00
1278836.004	0.50
1278846.984	0.00
1278863.656	0.50
1278867.667	0.00
1278941.853	0.50
1278947.582	0.00
1279087.247	0.50
1279093.462	0.00
1279119.581	0.50
1279132.688	0.00
1279195.488	0.50
1279381.573	1.00
1279387.931	0.50
1279397.429	1.00
1279409.712	0.50
1279450.771	1.00
1279457.216	0.50
1279491.926	1.00
1279502.598	0.50
1279554.996	1.00
1279565.486	0.50
1279612.008	1.00
1279618.651	0.50
1279629.022	1.00
1279637.142	0.50
1279646.909	1.00
1290530.227	0.50
1290575.311	1.00
1290673.584	0.50
1290724.634	1.00
1301160.372	0.50
1301205.707	1.00
1301522.032	0.50
1301559.534	1.00
1312999.079	0.50
1313041.542	1.00
1313329.507	0.50
1313364.414	1.00
1316508.577	0.50
1316545.328	1.00
1316831.920	0.50
1316862.415	1.00
1319918.397	0.50
1319957.314	1.00
1319964.781	0.50
1320009.542	1.00
1320182.092	0.50
1320208.211	1.00
1333283.719	0.50
1333326.173	1.00
1333334.715	0.50
1333381.736	1.00
1333389.695	0.50
1333450.382	1.00
1346503.982	0.50
1346589.948	1.00
1347048.850	0.50
1347087.138	1.00
1347098.437	0.50
1347145.449	1.00
1353143.177	0.50
1353185.134	1.00
1353193.257	0.50
1353240.213	1.00
1353587.731	0.50
1353620.664	1.00
1353625.527	0.50
1353676.454	1.00
1358415.641	0.50
1358516.042	1.00
1358922.645	0.50
1358955.630	1.00
1358961.897	0.50
1359020.346	1.00
1363745.920	0.50
1363795.948	1.00
1363805.182	0.50
1363869.877	1.00
1364298.334	0.50
1364340.083	1.00
1364346.914	0.50
1364383.652	1.00
1368701.245	0.50
1368739.249	1.00
1368746.421	0.50
1368793.530	1.00
1369149.144	0.50
1369188.043	1.00
1369203.231	0.50
1369248.466	1.00
1373328.678	0.50
1373764.764	0.00
1805328.138	0.50
1805337.533	0.00
1805375.803	0.50
1805382.225	0.00
1843775.371	0.50
1843805.275	0.00
1843817.171	0.50
1843824.922	0.00
1843844.761	0.50
1843861.109	0.00
1843886.263	0.50
1843893.154	0.00
1843937.108	0.50
1843943.529	0.00
1843951.637	0.50
1843966.439	0.00
1844034.676	0.50
1844041.454	0.00
1844091.466	0.50
1844097.428	0.00
1844123.736	0.50
1844129.659	0.00
1844167.643	0.50
1844182.143	0.00
1844214.123	0.50
1844221.266	0.00
1844257.222	0.50
1844263.836	0.00
1844301.260	0.50
1844305.938	0.00
1844676.874	0.50
1844697.739	0.00
1844723.767	0.50
1844730.441	0.00
1844738.308	0.50
1844743.158	0.00
1844770.899	0.50
1844776.660	0.00
1844809.980	0.50
1844816.809	0.00
1844857.582	0.50
1844865.890	0.00
1844874.628	0.50
1844891.521	0.00
1844898.768	0.50
1844902.397	0.00
1844935.962	0.50
1844943.256	0.00
1844963.598	0.50
1844966.386	1.00
1844971.617	0.50
1844973.976	0.00
1845015.224	0.50
1845023.543	0.00
1845051.132	0.50
1845067.224	0.00
1845079.615	0.50
1845085.862	0.00
1845092.849	0.50
1845096.644	0.00
1845103.389	0.50
1845108.412	0.00
1845129.295	0.50
1845132.386	1.00
1845137.136	0.50
1845139.801	0.00
1845147.332	0.50
1845163.365	0.00
1845168.715	0.50
1845171.090	1.00
1845175.087	0.50
1845177.515	0.00
