level	level_ready	ready	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
2	7	1131726.584	1131750.448	1131847.857	#9d00ff	1.0	Scheduler	0					18
2	7	1131865.246	1131875.771	1131945.331	#9d00ff	1.0	Scheduler	0					20
2	7	1132112.899	1132112.899	1132119.532	#ffc0cb	1.0	ProfTask <1>						260
2	7	1887430.900	1887469.337	1887516.954	#333399	1.0	Deferred Ready Trigger	3					22
2	7	1887666.368	1887666.368	1887676.134	#ffc0cb	1.0	ProfTask <3>						261
2	7	1887820.758	1887873.868	1887911.228	#333399	1.0	Deferred Ready Trigger	4					247
2	7	1887939.316	1887939.316	1887943.976	#ffc0cb	1.0	ProfTask <4>						262
2	7	2004033.501	2004050.023	2004073.805	#333399	1.0	Deferred Ready Trigger	5					248
2	7	2004100.736	2004100.736	2004106.103	#ffc0cb	1.0	ProfTask <5>						263
2	7	2004142.069	2004142.069	2004145.762	#ffc0cb	1.0	ProfTask <5>						264
2	7	2064237.437	2064271.214	2064297.548	#333399	1.0	Deferred Ready Trigger	7					250
2	7	2064314.243	2064314.243	2064318.757	#ffc0cb	1.0	ProfTask <7>						265
2	7	2064325.150	2064336.527	2064358.130	#333399	1.0	Deferred Ready Trigger	6	[[0, 2, 244]]				251
2	7	2064372.340	2064372.340	2064378.142	#ffc0cb	1.0	ProfTask <6>						266
2	7	2064425.658	2064439.767	2064912.591	#ee00ff	1.0	Task Physical Dependence Analysis	6	[[0, 2, 244]]				232
1	6	2064460.470	2064460.470	2064757.963	#ff0b00	1.0	Mapper Call map_task for 6	6	[[0, 2, 244]]				258
2	6	2064895.840	2064938.430	2064959.621	#333399	1.0	Deferred Ready Trigger	9					252
2	7	2064974.539	2064974.539	2064979.176	#ffc0cb	1.0	ProfTask <9>						267
2	6	2064977.098	2064985.140	2065008.315	#333399	1.0	Deferred Ready Trigger	8	[[0, 2, 7]]				253
2	7	2065021.505	2065021.505	2065026.318	#ffc0cb	1.0	ProfTask <8>						268
2	7	2065063.470	2065080.934	2065259.007	#ee00ff	1.0	Task Physical Dependence Analysis	8	[[0, 2, 7]]				254
1	6	2065092.988	2065092.988	2065205.897	#ff0b00	1.0	Mapper Call map_task for 8	8	[[0, 2, 7]]				259
2	7	2065285.153	2065285.153	2065290.919	#ffc0cb	1.0	ProfTask <8>						269
2	7	2065298.864	2065298.864	2065304.046	#ffc0cb	1.0	ProfTask <10>						270
2	7	2065311.838	2065311.838	2065323.070	#ffc0cb	1.0	ProfTask <6>						271
2	6	2065314.045	2065330.219	2065374.476	#006600	1.0	Post-Task Execution	6		[[0, 2, 244]]			31
2	6	2065395.290	2065395.290	2065404.409	#ffc0cb	1.0	ProfTask <10>						272
2	7	2065392.769	2065413.072	2065437.527	#001eff	1.0	Operation Physical Dependence Analysis	11					34
