time	count
0.000	0.00
1131871.414	1.00
1131877.823	0.00
1131902.582	1.00
1131907.442	0.00
1131967.180	1.00
1131973.556	0.00
1887540.878	1.00
1887549.090	0.00
2004081.928	1.00
2004089.422	0.00
2064305.095	1.00
2064310.462	0.00
2064366.713	1.00
2064373.269	0.00
2064467.966	1.00
2064474.773	0.00
2064854.771	1.00
2064860.185	0.00
2064917.697	1.00
2065292.716	0.00
2065321.206	1.00
2065629.402	0.00
2065651.028	1.00
2065655.364	0.00
2065660.845	1.00
2065664.930	0.00
2065670.191	1.00
2065674.528	0.00
2065678.796	1.00
2065682.654	0.00
2065686.872	1.00
2065690.098	0.00
2065694.309	1.00
2065697.477	0.00
2065703.630	1.00
2065708.390	0.00
2065714.725	1.00
2065719.262	0.00
2065723.840	1.00
2065727.832	0.00
2065780.941	1.00
2066111.116	0.00
2066144.783	1.00
2066215.987	0.00
2066245.594	1.00
2066251.163	0.00
2066259.095	1.00
2066264.225	0.00
2066301.621	1.00
2066377.311	0.00
2066405.630	1.00
2066412.893	0.00
2066421.100	1.00
2066427.548	0.00
2066471.431	1.00
2066479.071	0.00
2066535.583	1.00
2066593.473	0.00
2067346.675	1.00
2067354.303	0.00
2067387.727	1.00
2067394.617	0.00
2067442.872	1.00
2067451.090	0.00
2067474.731	1.00
2067480.297	0.00
2067488.729	1.00
2067495.305	0.00
2067532.311	1.00
2067539.293	0.00
2067571.934	1.00
2067579.663	0.00
2067606.592	1.00
2067612.221	0.00
2067621.464	1.00
2067627.153	0.00
2067662.795	1.00
2067670.163	0.00
2067679.315	1.00
2067686.512	0.00
2067705.097	1.00
2067711.610	0.00
2067719.563	1.00
2067726.024	0.00
2067760.488	1.00
2067767.837	0.00
2067834.393	1.00
2067841.326	0.00
2067867.718	1.00
2067875.021	0.00
2067900.658	1.00
2067906.286	0.00
2067951.131	1.00
2067956.251	0.00
2067963.814	1.00
2067967.314	0.00
2068872.288	1.00
2068882.867	0.00
2069260.928	1.00
2070348.048	0.00
2070377.866	1.00
2070383.587	0.00
2070819.172	1.00
2070828.288	0.00
2070840.483	1.00
2070848.019	0.00
2070858.887	1.00
2070866.815	0.00
2071135.872	1.00
2071143.400	0.00
2071175.560	1.00
2071188.129	0.00
2071441.366	1.00
2072373.142	0.00
2072407.594	1.00
2072415.756	0.00
2223654.660	1.00
2223670.393	0.00
2223681.067	1.00
2223688.333	0.00
2223729.950	1.00
2223735.924	0.00
2223828.994	1.00
2223833.763	0.00
2223878.262	1.00
2223882.918	0.00
2223928.589	1.00
2223933.189	0.00
2223979.621	1.00
2223984.034	0.00
2224047.331	1.00
2224051.623	0.00
2224101.138	1.00
2224106.757	0.00
2224148.335	1.00
2224161.362	0.00
2224186.534	1.00
2224191.200	0.00
2224220.301	1.00
2224223.906	0.00
2224253.499	1.00
2224257.289	0.00
2224316.993	1.00
2224321.896	0.00
2224371.021	1.00
2224376.481	0.00
2224382.616	1.00
2224387.519	0.00
2224404.275	1.00
2224409.090	0.00
2224422.632	1.00
2224427.511	0.00
2224432.534	1.00
2224435.672	0.00
2224462.197	1.00
2224466.176	0.00
2224561.477	1.00
2224567.447	0.00
2224577.316	1.00
2224583.749	0.00
2224592.176	1.00
2224597.422	0.00
2224605.256	1.00
2224611.578	0.00
2224625.618	1.00
2224631.298	0.00
2224640.500	1.00
2224647.306	0.00
2224655.645	1.00
2224662.140	0.00
2224723.627	1.00
2224727.850	0.00
2224771.060	1.00
2224775.847	0.00
2224811.759	1.00
2224816.039	0.00
2224822.127	1.00
2224825.941	0.00
2224867.885	1.00
2224872.650	0.00
2224902.872	1.00
2224908.376	0.00
2224914.147	1.00
2224917.592	0.00
2224963.214	1.00
2224967.510	0.00
2225013.096	1.00
2225017.772	0.00
2225061.833	1.00
2225067.872	0.00
2225110.405	1.00
2225115.363	0.00
2225145.405	1.00
2225149.977	0.00
2225157.536	1.00
2225162.322	0.00
2225219.074	1.00
2225225.623	0.00
2225247.956	1.00
2225252.965	0.00
2225278.124	1.00
2225284.676	0.00
2225330.082	1.00
2225334.333	0.00
